Last [kW]
55
53
53
52
51
56
63
65
60
57
60
66
64
60
61
64
67
80
87
91
84
71
61
57
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
59
58
57
57
61
74
131
188
212
221
221
217
193
133
91
83
90
91
94
88
74
62
58
55
53
53
52
51
56
63
65
60
57
60
66
64
60
61
64
67
80
87
91
84
71
61
57
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
59
58
57
57
61
74
131
188
212
221
221
217
193
133
91
83
90
91
94
88
74
62
58
55
53
53
52
51
56
63
65
60
57
60
66
64
60
61
64
67
80
87
91
84
71
61
57
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
59
58
57
57
61
74
131
188
212
221
221
217
193
133
91
83
90
91
94
88
74
62
58
55
53
53
52
51
56
63
65
60
57
60
66
64
60
61
64
67
80
87
91
84
71
61
57
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
59
58
57
57
61
74
131
188
212
221
221
217
193
133
91
83
90
91
94
88
74
62
58
55
53
53
52
51
56
63
65
60
57
60
66
64
60
61
64
67
80
87
91
84
71
61
57
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
59
58
57
57
61
74
131
188
212
221
221
217
193
133
91
83
90
91
94
88
74
62
58
55
53
53
52
51
56
63
65
60
57
60
66
64
60
61
64
67
80
87
91
84
71
61
57
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
59
58
57
57
61
74
131
188
212
221
221
217
193
133
91
83
90
91
94
88
74
62
58
55
53
53
52
51
56
63
65
60
57
60
66
64
60
61
64
67
80
87
91
84
71
61
57
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
59
58
57
57
61
74
131
188
212
221
221
217
193
133
91
83
90
91
94
88
74
62
58
55
53
53
52
51
56
63
65
60
57
60
66
64
60
61
64
67
80
87
91
84
71
61
57
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
59
58
57
57
61
74
131
188
212
221
221
217
193
133
91
83
90
91
94
88
74
62
58
55
53
53
52
51
56
63
65
60
57
60
66
64
60
61
64
67
80
87
91
84
71
61
57
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
57
56
56
56
60
70
107
176
213
217
217
203
164
156
198
218
227
201
141
104
86
70
63
60
59
58
57
57
61
74
131
188
212
221
221
217
193
133
91
83
90
91
94
88
74
62
58
61
58
57
57
57
58
57
63
66
62
63
66
65
61
62
63
62
66
68
74
81
76
67
60
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
61
61
63
65
119
179
197
200
203
204
180
121
83
73
74
73
79
85
78
69
64
61
58
57
57
57
58
57
63
66
62
63
66
65
61
62
63
62
66
68
74
81
76
67
60
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
61
61
63
65
119
179
197
200
203
204
180
121
83
73
74
73
79
85
78
69
64
61
58
57
57
57
58
57
63
66
62
63
66
65
61
62
63
62
66
68
74
81
76
67
60
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
62
61
60
60
62
63
91
161
198
202
201
189
155
146
181
195
196
170
121
101
90
77
70
65
